x,District,Ports,Boats,Divers,Flag,Ports2,country,unified,Latitude,Longitude,notes,,
Hasa Sanjāq.,Qatīf Oasis.,Qatīf Town (Farīq-al-Maqbarah).,4,80,Turkey.,Qatīf Town (Farīq-al-Maqbarah).,Saudi Arabia,"Qatīf Town (Farīq-al-Maqbarah)., Saudi Arabia",26.5764917,49.998236,,,
Hasa Sanjāq.,Qatīf Oasis.,Qudaih.,10,185,Turkey.,Qudaih.,Saudi Arabia,"Qudaih., Saudi Arabia",26.5700827,49.9865368,,,
Hasa Sanjāq.,Qatīf Oasis.,Saihāt.,30,560,Turkey.,Saihāt.,Saudi Arabia,"Saihāt., Saudi Arabia",26.4889127,50.0282017,,,
Hasa Sanjāq.,Tārūt Island.,Dārīn.,15,357,Turkey.,Dārīn.,Saudi Arabia,"Dārīn., Saudi Arabia",26.5432557,50.078401,,,
Hasa Sanjāq.,Tārūt Island.,Fanyah.,7,122,Turkey.,Fanyah.,Saudi Arabia,"Fanyah., Saudi Arabia",26.5953,50.07684,,,
Hasa Sanjāq.,Tārūt Island.,Sanābis.,68,"1,565",Turkey.,Sanābis.,Saudi Arabia,"Sanābis., Saudi Arabia",26.5827593,50.0833533,,,
Kuwait.,...,Kuwait Town,461,"9,200",Great Britain.,Kuwait Town,Kuwait,"Kuwait Town, Kuwait",29.375859,47.9774052,,,
Persia,Southern 'Arabistān.,...,0,0,Persia.,...,Iran,"..., Iran",32.427908,53.688046,,,
Persia,Līrāvi.,...,0,0,Persia.,...,Iran,"..., Iran",32.427908,53.688046,,,
Persia,Hayāt Dāvud,Khārag Island.,40,250,Persia.,Khārag Island.,Iran,"Khārag Island., Iran",29.2457199,50.3120667,,,
Persia,Shabānkāreh.,...,0,0,Persia.,...,Iran,"..., Iran",,,,,
Persia,Rūd-hilleh.,...,0,0,Persia.,...,Iran,"..., Iran",,,unidentified,,
Persia,Angāli.,...,0,0,Persia.,...,Iran,"..., Iran",,,,,
Persia,Dashtistān.,...,0,0,Persia.,...,Iran,"..., Iran",,,,,
Persia,Būshehr Peninsula.,...,0,0,Persia.,...,Iran,"..., Iran",,,,,
Persia,Tangistān.,...,0,0,Persia.,...,Iran,"..., Iran",,,,,
Persia,Dashti.,...,0,0,Persia.,...,Iran,"..., Iran",,,unidentified,,
Persia,Shībkūh.,Asalu,25,137,Persia.,Asalu,Iran,"Asalu, Iran",27.4761,52.6074,,,
Persia,Shībkūh.,Nakhl Taqi,14,70,Persia.,Nakhl Taqi,Iran,"Nakhl Taqi, Iran",27.4988523,52.5879031,,,
Persia,Shībkūh.,Hālat Nāband,25,257,Persia.,Hālat Nāband,Iran,"Hālat Nāband, Iran",27.3136253,56.454317,,,
Persia,Shībkūh.,Nāband,47,155,Persia.,Nāband,Iran,"Nāband, Iran",27.3136253,56.454317,,,
Persia,Shībkūh.,Rās Ghurāb,20,20,Persia.,Rās Ghurāb,Iran,"Rās Ghurāb, Iran",,,unidentified,,
Persia,Shībkūh.,Ghāf,12,12,Persia.,Ghāf,Iran,"Ghāf, Iran",27.28333,52.68333,,,
Persia,Shībkūh.,Barku,16,16,Persia.,Barku,Iran,"Barku, Iran",26.84823,55.3355,,,
Persia,Shībkūh.,Khuvādān,13,29,Persia.,Khuvādān,Iran,"Khuvādān, Iran",27.2,52.76667,,,
Persia,Shībkūh.,Tibin,11,23,Persia.,Tibin,Iran,"Tibin, Iran",27.23321,52.80174,,,
Persia,Shībkūh.,Amārīyeh,8,20,Persia.,Amārīyeh,Iran,"Amārīyeh, Iran",27.17395,52.9089,,,
Persia,Shībkūh.,Dastūr,8,24,Persia.,Dastūr,Iran,"Dastūr, Iran",27.14024,52.96141,,,
Persia,Shībkūh.,Bustānu,9,125,Persia.,Bustānu,Iran,"Bustānu, Iran",27.0816388,55.9985474,,,
Persia,Shībkūh.,Ziyārat,4,20,Persia.,Ziyārat,Iran,"Ziyārat, Iran",27.0983357,53.0774696,,,
Persia,Shībkūh.,Kalātu,6,6,Persia.,Kalātu,Iran,"Kalātu, Iran",26.8920531,55.2550989,,,
Persia,Shībkūh.,Shīvuh,33,333,Persia.,Shīvuh,Iran,"Shīvuh, Iran",27.0802,53.1435,,,
Persia,Shībkūh.,Mugām,42,538,Persia.,Mugām,Iran,"Mugām, Iran",26.9652,53.4801,,,
Persia,Shībkūh.,Nakhīla,12,134,Persia.,Nakhīla,Iran,"Nakhīla, Iran",,,Nakhīlu,,
Persia,Shībkūh.,Jazeh,12,92,Persia.,Jazeh,Iran,"Jazeh, Iran",26.8262,53.5318,,,
Persia,Shībkūh.,Shaikh Shu'aib Island.,76,932,Persia.,Shaikh Shu'aib Island.,Iran,"Shaikh Shu'aib Island., Iran",26.8089931,53.2719308,,,
Persia,Shībkūh.,Makāhīl,7,71,Persia.,Makāhīl,Iran,"Makāhīl, Iran",26.8192,53.5415,,,
Persia,Shībkūh.,Hindarābi Island.,20,136,Persia.,Hindarābi Island.,Iran,"Hindarābi Island., Iran",26.6784814,53.6339403,,,
Persia,Shībkūh.,Chīrū,17,238,Persia.,Chīrū,Iran,"Chīrū, Iran",26.7166239,53.7326437,,,
Persia,Shībkūh.,Kalāt,29,241,Persia.,Kalāt,Iran,"Kalāt, Iran",26.71655,53.85471,,,
Persia,Shībkūh.,Gūrzeh,23,169,Persia.,Gūrzeh,Iran,"Gūrzeh, Iran",26.7355587,53.9405609,,,
Persia,Shībkūh.,Qais Island,90,"1,464",Persia.,Qais Island,Iran,"Qais Island, Iran",26.5324775,53.9867949,,,
Persia,Shībkūh.,Tāvuneh,25,113,Persia.,Tāvuneh,Iran,"Tāvuneh, Iran",26.70767,54.20394,,,
Persia,Shībkūh.,Buraghleh,6,30,Persia.,Buraghleh,Iran,"Buraghleh, Iran",,,unidentified,,
Persia,Shībkūh.,Chārak,25,400,Persia.,Chārak,Iran,"Chārak, Iran",26.7337322,54.2675018,,,
Persia,Shībkūh.,Hasīneh,15,75,Persia.,Hasīneh,Iran,"Hasīneh, Iran",26.65358,54.361871,,26.65358,54.361871
Persia,Shībkūh.,Saif-ash-Shaikh,5,25,Persia.,Saif-ash-Shaikh,Iran,"Saif-ash-Shaikh, Iran",,,unidentified,,
Persia,Shībkūh.,Mughu,26,338,Persia.,Mughu,Iran,"Mughu, Iran",26.60523,54.5091,,,
Persia,Shībkūh.,Farūr Island,2,6,Persia.,Farūr Island,Iran,"Farūr Island, Iran",26.2943143,54.510853,,,
Persia,Lingeh,Sirri Island,35,495,Indeterminate.,Sirri Island,Iran,"Sirri Island, Iran",25.9143361,54.5272851,,,
Persia,Lingeh,Duvvān,35,407,Persia.,Duvvān,Iran,"Duvvān, Iran",26.58112,54.58474,,,
Persia,Lingeh,Bustāneh,51,169,Persia.,Bustāneh,Iran,"Bustāneh, Iran",26.5123126,54.6561179,,,
Persia,Lingeh,Milu,5,5,Persia.,Milu,Iran,"Milu, Iran",26.5202807,54.7248868,,,
Persia,Lingeh,Shanās,3,3,Persia.,Shanās,Iran,"Shanās, Iran",26.523432,54.793381,,26.523432,54.793381
Persia,Lingeh,Lingeh Town,72,"1,306",Persia.,Lingeh Town,Iran,"Lingeh Town, Iran",26.5627867,54.888679,,,
